state,score_2019,score_2022,subject
Arizona,216,215,reading_4
California,216,214,reading_4
Connecticut,224,219,reading_4
District of Columbia,214,207,reading_4
Florida,225,225,reading_4
Illinois,218,218,reading_4
Indiana,222,217,reading_4
Massachusetts,231,227,reading_4
Michigan,218,212,reading_4
Minnesota,222,215,reading_4
Missouri,218,213,reading_4
New Hampshire,224,223,reading_4
New Jersey,227,223,reading_4
New York,220,214,reading_4
North Carolina,221,216,reading_4
North Dakota,221,218,reading_4
Ohio,222,219,reading_4
Tennessee,219,214,reading_4
Texas,216,214,reading_4
Utah,225,221,reading_4
Virginia,224,214,reading_4
Washington,220,217,reading_4
Wisconsin,220,217,reading_4
Arizona,259,259,reading_8
California,259,259,reading_8
Connecticut,270,264,reading_8
District of Columbia,250,250,reading_8
Florida,263,260,reading_8
Illinois,265,262,reading_8
Indiana,266,261,reading_8
Massachusetts,273,269,reading_8
Michigan,263,259,reading_8
Minnesota,264,260,reading_8
Missouri,263,258,reading_8
New Hampshire,268,263,reading_8
New Jersey,270,270,reading_8
New York,262,262,reading_8
North Carolina,263,256,reading_8
North Dakota,263,258,reading_8
Ohio,267,262,reading_8
Tennessee,262,258,reading_8
Texas,256,255,reading_8
Utah,267,265,reading_8
Virginia,262,260,reading_8
Washington,266,262,reading_8
Wisconsin,267,262,reading_8
Arizona,238,232,math_4
California,235,230,math_4
Connecticut,243,236,math_4
District of Columbia,235,223,math_4
Florida,246,241,math_4
Illinois,237,237,math_4
Indiana,245,239,math_4
Massachusetts,247,242,math_4
Michigan,236,232,math_4
Minnesota,248,239,math_4
Missouri,238,232,math_4
New Hampshire,245,239,math_4
New Jersey,246,239,math_4
New York,237,227,math_4
North Carolina,241,236,math_4
North Dakota,243,240,math_4
Ohio,241,238,math_4
Tennessee,240,236,math_4
Texas,244,239,math_4
Utah,244,240,math_4
Virginia,247,236,math_4
Washington,240,235,math_4
Wisconsin,242,240,math_4
Arizona,280,271,math_8
California,276,270,math_8
Connecticut,286,276,math_8
District of Columbia,269,260,math_8
Florida,279,271,math_8
Illinois,283,275,math_8
Indiana,286,279,math_8
Massachusetts,294,284,math_8
Michigan,280,273,math_8
Minnesota,291,280,math_8
Missouri,281,272,math_8
New Hampshire,287,279,math_8
New Jersey,292,281,math_8
New York,280,274,math_8
North Carolina,284,274,math_8
North Dakota,286,278,math_8
Ohio,286,276,math_8
Tennessee,280,272,math_8
Texas,280,273,math_8
Utah,285,282,math_8
Virginia,287,279,math_8
Washington,286,276,math_8
Wisconsin,289,281,math_8
